Id_lien;Type de circulation;Numero de journal;Id_image;Lien d’accès;Image recto;Image verso
0;Parution journal;Le Mirroir (18/05/1919);SHDGR__GR_2_K_247_195_018;https://gallica.bnf.fr/ark:/12148/bpt6k65662367/f8.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_195_018__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_195_018__0002.jpg
1;Parution journal;Excelsior (29/06/1919);SHDGR__GR_2_K_247_195_108;https://gallica.bnf.fr/ark:/12148/bpt6k46059672/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_195_108__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_195_108__0002.jpg
2;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_008;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_008__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_008__0002.jpg
3;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_007;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_007__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_007__0002.jpg
4;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_009;https://gallica.bnf.fr/ark:/12148/bpt6k6566232k/f8.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_009__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_009__0002.jpg
5;Parution journal;Le Miroir (20/04/1919);SHDGR__GR_2_K_247_193_009;https://gallica.bnf.fr/ark:/12148/bpt6k6566232k/f8.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_009__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_009__0002.jpg
6;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_010;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_010__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_010__0002.jpg
7;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_011;https://gallica.bnf.fr/ark:/12148/bpt6k65662241/f8.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_011__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_011__0002.jpg
8;Parution journal;Le Miroir (23/02/1919);SHDGR__GR_2_K_247_193_011;https://gallica.bnf.fr/ark:/12148/bpt6k65662241/f8.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_011__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_011__0002.jpg
9;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_012;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_012__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_012__0002.jpg
10;Parution journal;Excelsior (18/01/1919);SHDGR__GR_2_K_247_193_013;https://gallica.bnf.fr/ark:/12148/bpt6k46058061/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_013__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_013__0002.jpg
11;Parution journal;Excelsior (26/07/1923);SHDGR__GR_2_K_247_193_014;https://gallica.bnf.fr/ark:/12148/bpt6k4605279v/f1.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_193_014__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_193_014__0002.jpg
12;Parution journal;Journal des voyages et des aventures de terre et de mer - 13/05/1926;SHDGR__GR_2_K_247_158_253;https://gallica.bnf.fr/ark:/12148/bpt6k6864156r/f16.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_158_253__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_158_253__0002.jpg
13;Parution journal;Journal des voyages et des aventures de terre et de mer - 13/05/1926;SHDGR__GR_2_K_247_158_254;https://gallica.bnf.fr/ark:/12148/bpt6k6864156r/f15.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_158_254__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_158_254__0002.jpg
14;Parution journal;Journal des voyages et des aventures de terre et de mer - 17/06/1926;SHDGR__GR_2_K_247_158_258;https://gallica.bnf.fr/ark:/12148/bpt6k68641612/f11.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_158_258__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_158_258__0002.jpg
15;Parution journal;Journal des voyages et des aventures de terre et de mer - 17/06/1926;SHDGR__GR_2_K_247_158_293;https://gallica.bnf.fr/ark:/12148/bpt6k68641612/f10.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_158_293__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_158_293__0002.jpg
16;Parution journal;Le Miroir - 04/06/1916;SHDGR__GR_2_K_247_147_001;https://gallica.bnf.fr/ark:/12148/bpt6k6522759m/f7.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_147_001__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_147_001__0002.jpg
17;Parution journal;Excelsior - 25/06/1916;SHDGR__GR_2_K_247_147_028;https://gallica.bnf.fr/ark:/12148/bpt6k4606783s/f6.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_147_028__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_147_028__0002.jpg
18;Parution journal;Excelsior - 23/01/1918;SHDGR__GR_2_K_247_147_044;https://gallica.bnf.fr/ark:/12148/bpt6k4606410v/f2.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_147_044__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_147_044__0002.jpg
19;Parution journal;Excelsior - 03-05-1917;SHDGR__GR_2_K_247_147_044;https://gallica.bnf.fr/ark:/12148/bpt6k4606410v/f2.item;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_images/SHDGR__GR_2_K_247_147_044__0001.jpg;https://raw.githubusercontent.com/fant1-LB/streamlit_project/refs/heads/master/static/images_cote_ecrit/SHDGR__GR_2_K_247_147_044__0002.jpg
